#RF00001  120 1428 5S_ribosomal_RNA Published;_PMID:11283358
RF00002  51 124 5.8S_ribosomal_RNA Published;_PMID:11125083
RF00003  81 202 U1_spliceosomal_RNA Published;_PMID:2405391
#RF00004  194 420 U2_spliceosomal_RNA Published;_PMID:2339054;_Griffiths-Jones_SR
RF00005  43 1922 tRNA Published;_PMID:8256282
RF00006  101 150 Vault_RNA Published;_PMID:19491402
RF00007  151 128 U12_minor_spliceosomal_RNA Predicted;_Griffiths-Jones_S
RF00008  31 170 Hammerhead_ribozyme_(type_III) Published;_PMID:7969422
RF00009  306 238 Nuclear_RNase_P Published;_PMID:9847214
RF00010  368 920 Bacterial_RNase_P_class_A Published;_PMID:9847214
RF00011  366 232 Bacterial_RNase_P_class_B Published;_PMID:9847214
RF00012  219 178 Small_nucleolar_RNA_U3 Published;_PMID:19875933;_Gardner_PP
#RF00013  189 310 6S_/_SsrS_RNA Published;_PMID:15811922
RF00014  86 14 DsrA_RNA Published;_PMID:9770508
#RF00015  138 346 U4_spliceosomal_RNA Published;_PMID:2339054;_Griffiths-Jones_SR
RF00016  43 38 Small_nucleolar_RNA_SNORD14 Predicted;_PFOLD
RF00017  298 186 Metazoan_signal_recognition_particle_RNA Published;_PMID:19838050
RF00018  358 80 CsrB/RsmB_RNA_family Predicted;_PFOLD;_Bateman_A;_Gardner_PP;
RF00019  97 218 Y_RNA Published;_PMID:10606662
#RF00020  118 364 U5_spliceosomal_RNA Published;_PMID:2339054;_Griffiths-Jones_SR
RF00021  118 42 Spot_42_RNA Published;_PMID:12101127
RF00022  202 58 GcvB_RNA Published;_PMID:17974919
RF00023  364 970 transfer-messenger_RNA Published;_PMID:19617710
RF00024  255 76 Vertebrate_telomerase_RNA Published;_PMID:10721988;_Machado_Lima_A
RF00025  79 42 Ciliate_telomerase_RNA Published;_PMID:7958872;_PMID:7739888,_Moxon_SJ
#RF00026  107 380 U6_spliceosomal_RNA Published;_PMID:2339054;_Griffiths-Jones_SR
RF00027  85 138 let-7_microRNA_precursor Predicted;_PFOLD
RF00028  129 26 Group_I_catalytic_intron Published;_PMID:2197983
RF00029  78 200 Group_II_catalytic_intron Predicted;_PFOLD
RF00030  267 136 RNase_MRP Published;_PMID:7678563
RF00031  64 126 Selenocysteine_insertion_sequence_1 Published;_PMID:12458087
RF00032  47 108 Histone_3'_UTR_stem-loop Published;_PMID:17998288
RF00033  33 10 MicF_RNA Predicted;_Bateman_A
RF00034  109 30 RprA_RNA Predicted;_PFOLD;_Moxon_SJ
RF00035  53 12 OxyS_RNA Published;_PMID:11804582
RF00036  233 132 HIV_Rev_response_element Published;_PMID:12177299
RF00037  37 128 Iron_response_element_I Published;_PMID:17849083
RF00038  29 24 PrfA_thermoregulator_UTR Predicted;_PFOLD
RF00039  23 12 DicF_RNA Predicted;_PFOLD
RF00040  169 14 RNase_E_5'_UTR_element Published;_PMID:10817759
RF00041  85 122 Enteroviral_3'_UTR_element Predicted;_PFOLD
RF00042  92 78 CopA-like_RNA Predicted;_PFOLD;_Moxon_SJ
RF00043  76 20 R1162-like_plasmid_antisense_RNA Predicted;_PFOLD
RF00044  87 8 Bacteriophage_pRNA Predicted;_ILM
RF00045  220 136 Small_nucleolar_RNA_SNORA73_family Published;_PMID:11821910
RF00046  9 14 Small_nucleolar_RNA_R30/Z108 Predicted;_PFOLD;_Daub_J
RF00047  73 116 mir-2_microRNA_precursor Predicted;_PFOLD
RF00048  25 114 Enterovirus_cis-acting_replication_element Published;_PMID:11044080
RF00049  77 122 Small_nucleolar_RNA_SNORD36 Predicted;_PFOLD
#RF00050  139 292 FMN_riboswitch_(RFN_element) Published;_PMID:12456892
RF00051  51 110 mir-17_microRNA_precursor_family Predicted;_PFOLD
RF00052  73 28 lin-4_microRNA_precursor Predicted;_PFOLD
RF00053  89 122 mir-7_microRNA_precursor Predicted;_PFOLD
RF00054  89 28 Small_nucleolar_RNA_SNORD25 Predicted;_PFOLD
